"Work context","Project","Contribution","Public summary","Summary provenance","Field-level provenance","Indexed concepts","Responsibility claims","Hat links","Evidence (declared role)","Editorial/display fields","Retrieval fields","Review status","User correction","Proposed capability events"
"unmodelled","Cannvent","Cannvent system development","Brand, language and digital-experience development for a wellness product with planned community, content and commerce surfaces.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","community-platform · identity-systems · operate-activity · software-engineering · web-application","","Brand Systems Engineer · Environment Architect · Meaning Architect","Cannvent project evidence [placeholder] · Cannvent — identity development 01 [identity] · Cannvent — identity development 02 [identity] · Cannvent — identity development 03 [identity] · Cannvent — identity development 04 [identity] · Cannvent — interface study 02 [interface] · Cannvent — website and digital experience [cover]","brand-experience-systems:secondary · project featured · software-web-engineering:secondary · system-product-definition:primary · work sequence 1","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Community Supplies","Community Supplies system development","Brand, commerce and digital-service architecture for a product catalogue and storefront experience.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","engineer-role · identity-systems · operate-activity · product-catalogue · product-definition · software-engineering · web-application","","Brand Systems Engineer · Deployment Engineer · Web Design Engineer","Community Supplies project evidence [placeholder] · Community Supplies — identity development 01 [identity] · Community Supplies — website and digital experience [cover]","brand-experience-systems:secondary · software-web-engineering:secondary · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Croydon Women's Network — International Women's Day","Camera systems and setup","Preparation and setup of camera systems for promotional video production.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","","","Media Engineer · Media Workflow Designer","International Women's Day - Croydon Women's Network Promo Video [video]","physical-systems-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Crystal Palace Overground Festival","Distribution systems and signal flow","Planning and preparation of signal distribution for a multi-area event environment.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","signal-flow-design","","Live Systems Designer · Signal Flow Designer · Systems Engineer","Crystal Palace Overground Festival Westow Park the Day Before [video]","physical-systems-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Connected Lighting Management","Sensor test and manufacturing engineering","Testing and production-oriented engineering around connected control-system hardware.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","electronics-integration · engineer-role · testing-commissioning","","Control Systems Designer · Lighting Systems Designer · Repeatability Engineer","Connected Lighting Management [video]","physical-systems-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Delta Elektronika — Power Systems","Embedded firmware and deployment engineering","Deployment-oriented systems work supporting a high-power electronic supply system.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","cloud-operations · electronics-integration · engineer-role","","Configuration Engineer · Deployment Engineer · Systems Engineer","Delta High Power Supply System [video]","physical-systems-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Delta Elektronika — Power Systems","Firmware build and installation engineering","Build and installation work within an electronically controlled power-system context.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","build-activity · electronics-integration · engineer-role · install-activity","","Configuration Engineer · Install & Onboarding Engineer · Systems Engineer","Delta Elektronika Video [video]","physical-systems-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","FBC London — Shopping with Grant","Playout systems setup","Setup and preparation of media playout for the finished feature.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","media-distribution","","Media Distribution Engineer · Media Engineer","London Property presents Shopping with Grant, an Interior Design Experience - FBC London [video]","media-production-distribution:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","FindThy","FindThy identity and discovery language","Four related identity concepts translate recognition, focus, archival reference and the instant of discovery into a flexible mark system. Deep green carries discovery and considered selection; black provides authority and clarity; pale gold signals value, distinction and the moment of recognition.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems · operate-activity · product-definition","","","Concept 01 — The Interruption [process] · Concept 02 — Recognition focus [process] · Concept 03 + 04 synthesis [identity] · Concept 03 — Recognition and archive [process] · Concept 04 — Optical Glint, black [process] · Concept 04 — Optical Glint, green system [process] · Concept synthesis — closed field [identity] · Concept synthesis — open field [identity] · FindThy final identity — black [identity] · FindThy final identity — gold [identity] · FindThy final identity — green [identity] · Recognition-frame application study [identity] · Reduced recognition-frame study [identity]","brand-experience-systems:primary · project featured · system-product-definition:secondary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","FindThy","FindThy system development","Brand and experience architecture for a selective discovery agency, including positioning, language and cultural case structures.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems · software-engineering · web-application","","Brand Systems Engineer · Data Modeler · Meaning Architect","FindThy project evidence [placeholder] · FindThy — website and digital experience [cover]","brand-experience-systems:secondary · project featured · software-web-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Five9 — Customer Story Systems","Research and systems thinking","Analysis of connected operational and communication requirements within a customer-experience system.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","operate-activity · operational-state · product-definition","","Concept Engineer · Narrative Systems Thinker · Systems Engineer","Five9 Customer Heroes | Teladoc: Transforming Virtual Healthcare with Contact Center Innovation [video]","system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Five9 — Customer Story Systems","Server systems and configuration","Configuration-oriented systems work supporting a connected media and communications environment.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","cloud-operations · configure-activity · server-system","","Configuration Engineer · Server Engineer · Systems Engineer","Five9 and Microsoft: Creating Memorable Stories [video]","infrastructure-operations:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Gouldbourne Management","Gouldbourne Management system development","An organisational website combining management-focused content architecture, responsive delivery and domain operations.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","cloud-operations · configure-activity · operate-activity · product-definition · software-engineering · web-application","","Data Modeler · Deployment Engineer · Web Design Engineer","Gouldbourne Management project evidence [placeholder] · Gouldbourne Management — website and digital experience [cover]","infrastructure-operations:secondary · software-web-engineering:primary · system-product-definition:secondary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Gouldbourne Registry","Gouldbourne Registry system development","Architecture and engineering of a structured institutional registry with typed records, validation, queries and public projections.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","cloud-operations · configure-activity · engineer-role · operate-activity · product-definition · software-engineering · testing-commissioning · web-application","","Data Modeler · Schema Architect · Systems Engineer","Gouldbourne Group — continuing archive [interface] · Gouldbourne Group — history projection [interface] · Gouldbourne Group — ownership interface [cover] · Gouldbourne Registry project evidence [placeholder]","infrastructure-operations:secondary · project featured · software-web-engineering:primary · system-product-definition:secondary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","House of Gold","Content and museum information architecture","A structured narrative model connecting the House charter, rooms, media and intellectual-property context.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems · operate-activity","","Meaning Architect · Narrative Systems Thinker","House of Gold — interactive charter [interface]","brand-experience-systems:secondary · media-production-distribution:secondary · system-product-definition:primary · work sequence 3","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","House of Gold","Media presentation and asset systems","Presentation rules and interface surfaces for music, imagery and digital assets across the House experience.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems · music-domain · web-application","","Media Engineer · Visual Language Engineer","House of Gold — website and digital experience [cover]","brand-experience-systems:primary · media-production-distribution:secondary · work sequence 4","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","House of Gold","Runtime user-state and exploration systems","Persistent visitor state, adaptive navigation and interaction logic supporting movement through the House.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","cloud-operations · configure-activity · operate-activity · product-definition · software-engineering · web-application","","Data Modeler · Systems Engineer","House of Gold project evidence [placeholder] · House of Gold — adaptive navigation menu [interface]","infrastructure-operations:secondary · software-web-engineering:primary · system-product-definition:secondary · work sequence 2","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","House of Gold","Immersive web experience and interaction engineering","A navigable House interface combining responsive web engineering, spatial interaction and an exploratory visitor journey.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","engineer-role · identity-systems · software-engineering · web-application","","Web Design Engineer","House of Gold — East Wing transition [interface] · House of Gold — entrance hall and grand hall [interface] · House of Gold — first entrance interaction [interface] · House of Gold — second entrance interaction [interface] · House of Gold — side-door interaction [interface]","brand-experience-systems:secondary · software-web-engineering:primary · work sequence 1","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Houston Texans — London Game","Field communications and telecom redundancy systems","Communications-path and redundancy engineering supporting live field operations.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: confirmed claim · semantic concepts: derived/inferred","communications-networking · fallback-signal-path · field-communications · live-field-operations · live-sport · primary-signal-path · reliability-engineering · signal-path-resilience · systems-integration","Engineered communications paths and telecom redundancy supporting live field operations.","Network-Aware Engineer · Reliability Engineer · Systems Engineer","Relive It || Texans take down the Jaguars across the pond [video]","physical-systems-engineering:primary","confirmed-claims semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","iMikeGold.com","iMikeGold.com system development","An artist identity and digital application for presenting music, releases, media and archive material.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems · music-domain · software-engineering · web-application","","Identity Architect · Media Engineer · Web Design Engineer","iMikeGold.com project evidence [placeholder] · iMikeGold.com — website and digital experience [cover]","brand-experience-systems:secondary · media-production-distribution:secondary · software-web-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Just Enterprises","Just Enterprises system development","A company identity and corporate web presence with a structured organisational story and domain foundation.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems · operate-activity · product-definition · software-engineering · web-application","","Brand Systems Engineer · Environment Architect · Web Design Engineer","Just Enterprises project evidence [placeholder] · Just Enterprises — website and digital experience [cover]","brand-experience-systems:secondary · software-web-engineering:primary · system-product-definition:secondary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Living Control — Media Servers","Multimedia distribution","Media distribution work supporting dual-output high-definition server delivery.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","media-distribution · media-distribution-system · server-system","","Media Distribution Engineer · Server Engineer · Signal Flow Designer","Living Control Media Server with dual 1080p outputs [video]","media-production-distribution:primary · physical-systems-engineering:secondary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Living Control — Media Servers","PCB prototyping and design","Hardware prototyping and design work within a dedicated media-server product environment.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","design-activity · electronics-integration · server-system","","Repeatability Engineer · Systems Engineer","Living Control Studio6 & Studio3 Media Server (CEDIA Expo) [video]","physical-systems-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Malaria — Hotspot","Creative production management systems","Coordination and management of interdependent production requirements.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","operate-activity · product-definition","","Creative Project Engineer · Operations Engineer","Malaria ""Hotspot"" (Choreographer - Supple Nam) [video]","system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Mars Delight — Kung Fu","Media management systems","Organisation and management of media within a creative production workflow.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","media-production-system · operate-activity · product-definition","","Media Archiving Engineer · Media Workflow Designer","Mars Delight “Kung Fu” (Choreographer/Actor: Supple Nam) [video]","media-production-distribution:primary · system-product-definition:secondary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Metroplist","Metroplist system development","A data-driven exploration platform designed to transform the complexity of modern information into understandable, visual and meaningful intelligence. Its data and interpretation system is designed to be experienced in multiple ways, including AR and VR.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","engineer-role · identity-systems · operate-activity · software-engineering · web-application","","Concept Engineer · Data Modeler · Visual Language Engineer","Metroplist project evidence [placeholder] · Metroplist — design-language study 01 [process] · Metroplist — design-language study 02 [process] · Metroplist — design-language study 03 [process] · Metroplist — design-language study 04 [process] · Metroplist — design-language study 05 [process] · Metroplist — website and digital experience [cover]","brand-experience-systems:secondary · project featured · software-web-engineering:secondary · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","MiCKz","Digital product assets","Creation and preparation of product-facing visual assets for digital presentation and future commerce use.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems","","","MiCKz — website and digital experience [cover]","brand-experience-systems:secondary · media-production-distribution:primary · project featured","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","MiCKz","Identity development","Development of the core MiCKz identity and a mark capable of supporting a wider product family.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems","","Brand Systems Engineer · Logo Systems Designer","MiCKz identity development sequence [placeholder] · MiCKz logo 01 — Ocean Blue [process] · MiCKz logo 02 — green and yellow drinks identity [process] · MiCKz logo 03 — Jungle Mix [process] · MiCKz logo 04 — tea identity [process] · MiCKz logo 05 — core identity [process]","brand-experience-systems:primary · project featured","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","MiCKz","Food and drinks product system","A related visual framework that allows food and drinks products to use distinct styling while remaining recognisably MiCKz.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems · operate-activity","","Brand Systems Engineer · Visual Language Engineer","MiCKz food and drinks applications [placeholder] · MiCKz product 01 — Pickle MiCKz [application] · MiCKz product 02 — Hot MiCKz sauce [application] · MiCKz product 03 — Bissy MiCKz tea [application] · MiCKz product 04 — Coffee MiCKz tea [application] · MiCKz product 05 — Hibiscus MiCKz drink [application] · MiCKz product 06 — Sorrel MiCKz tea [application]","brand-experience-systems:secondary · media-production-distribution:secondary · project featured · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","MikeGold.co.uk","MikeGold.co.uk system development","A professional operating system mapping multidisciplinary engineering capabilities to services, projects and applied evidence.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","engineer-role · identity-systems · operate-activity · software-engineering · web-application","","Data Modeler · Systems Engineer · Web Design Engineer","MikeGold.co.uk project evidence [placeholder] · One Hat activates its capability profile [interface] · Three Hats form a service configuration [interface] · Two Hats recalculate the combined profile [interface] · Weighted capability polygon [interface]","brand-experience-systems:secondary · project featured · software-web-engineering:secondary · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Multiplied Intelligence","Multiplied Intelligence system development","Website design and development for the Multiplied Intelligence professional platform, with structured content and multi-domain cloud delivery.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","cloud-operations · configure-activity · design-activity · operate-activity · product-definition · software-engineering · web-application","","Data Modeler · Deployment Engineer · Web Design Engineer","Multiplied Intelligence project evidence [placeholder] · Multiplied Intelligence website [cover]","infrastructure-operations:secondary · software-web-engineering:primary · system-product-definition:secondary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Musical Intelligence","Music content architecture","Structuring the platform's artists, releases and related presentation content as reusable application data.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","engineer-role · music-domain · operate-activity · software-engineering · web-application","","Application Engineer","Musical Intelligence content model [placeholder]","project featured · software-web-engineering:secondary · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Musical Intelligence","Cloud delivery and release configuration","Configuration and troubleshooting of the build and cloud-delivery path used to publish the current web application.","unknown-unreviewed","evidence roles: not recorded · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","build-activity · cloud-operations · configure-activity · software-engineering · transition-to-live · web-application","","Deployment Engineer","","infrastructure-operations:primary · project featured","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Musical Intelligence","Musical Intelligence identity restoration","Recreated my own identity from the surviving original as the historical reference. The restoration preserves its curved framing, lowercase wordmark and superscript-three language while rebuilding typography, spacing, proportion, alignment and colour for clean contemporary and scalable digital use.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems · music-domain · scalability","","","Reconstructed red identity [process] · Reconstruction geometry refinement [process] · Restored identity — alternate proportion [identity] · Restored identity — black and red system [identity] · Restored identity — compact application [identity] · Restored identity — primary lock-up [identity] · The original Musical Intelligence identity [process]","brand-experience-systems:primary · project featured","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Musical Intelligence","Responsive web experience","Design and implementation of a responsive web surface for presenting the platform and its music content.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","design-activity · identity-systems · music-domain · software-engineering · web-application","","Application Engineer · Web Design Engineer","Musical Intelligence web experience [placeholder] · Musical Intelligence — interface study 01 [interface] · Musical Intelligence — website and digital experience [cover]","brand-experience-systems:secondary · project featured · software-web-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Ourgani","Ourgani identity design","Logo development for Ourgani, using an organic yin-yang construction to express balance, exchange and the relationship between complementary natural systems.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","design-activity · identity-systems · logo-artwork","","","Ourgani — organic yin-yang identity [identity]","brand-experience-systems:primary · project featured","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Ourgani","Ourgani system development","A service identity and live web presence, establishing its visual identity and delivering its public digital experience.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","cloud-operations · configure-activity · identity-systems · operational-state · software-engineering · web-application","","Brand Systems Engineer · Deployment Engineer · Web Design Engineer","Ourgani project evidence [placeholder] · Ourgani — website and digital experience [cover]","brand-experience-systems:secondary · infrastructure-operations:secondary · project featured · software-web-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Philadelphia Eagles — NFL Wembley","Broadcast-audio delivery","Live audio delivery from the pitch-side system into the Eagles' broadcast channel and its audience-facing output.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: confirmed claim · semantic concepts: derived/inferred","broadcast-audio-delivery · live-broadcast · live-sport · media-distribution · programme-audio-feed · reliability-engineering · signal-flow-design · systems-integration","Routed live programme audio from the pitch-side system into the Eagles broadcast channel.","Media Distribution Engineer","Philadelphia Eagles at Wembley — broadcast coverage [video] · Philadelphia Eagles at Wembley — game coverage [video]","media-production-distribution:primary","confirmed-claims semantic signature","review-required","","none — assessment not yet modelled"
