"Concept","Service-module consumers","Hat consumers","Confirmed Work-claim consumers","Orphan/gap"
"ecommerce-storefront","","","","no structured consumers"
"editorial-content-system","","","","no structured consumers"
"electronics-integration","activate:electronics-integration · required:electronics-integration","","",""
"engineer-role","","","","no structured consumers"
"fallback-signal-path","activate:signal-path-redundancy · required:signal-path-redundancy","core:network-engineer · core:reliability-engineer · core:signal-flow-designer","confirmed:houston-field-responsibility:houston-texans-london-game-field-communications-and-telecom-redundancy-systems · confirmed:philadelphia-field-responsibility:philadelphia-eagles-nfl-wembley-field-communications-and-resilient-signal-systems",""
"field-communications","activate:field-communications-design · required:field-communications-design","core:live-systems-designer · core:network-engineer","confirmed:houston-field-responsibility:houston-texans-london-game-field-communications-and-telecom-redundancy-systems · confirmed:philadelphia-field-responsibility:philadelphia-eagles-nfl-wembley-field-communications-and-resilient-signal-systems",""
"field-recording","","","","no structured consumers"
"hardware-product","","","","no structured consumers"
"identity-systems","activate:identity-system · required:identity-system · supporting:logo-identity-design","core:identity-architect · core:logo-systems-designer","",""
"install-activity","","","","no structured consumers"
"interactive-media-installation","","","","no structured consumers"
"knowledge-system","","","","no structured consumers"
"live-broadcast","activate:broadcast-audio-delivery","core:broadcast-audio-engineer","confirmed:philadelphia-broadcast-responsibility:philadelphia-eagles-nfl-wembley-broadcast-audio-delivery",""
"live-environment","","","","no structured consumers"
"live-field-operations","activate:field-communications-design · activate:live-operational-support · supporting:field-communications-design","core:live-systems-designer","confirmed:houston-field-responsibility:houston-texans-london-game-field-communications-and-telecom-redundancy-systems · confirmed:philadelphia-field-responsibility:philadelphia-eagles-nfl-wembley-field-communications-and-resilient-signal-systems",""
"live-operational-support","activate:live-operational-support · required:live-operational-support","core:live-systems-designer · core:operations-engineer · core:sound-engineer","",""
"live-sport","","","confirmed:houston-field-responsibility:houston-texans-london-game-field-communications-and-telecom-redundancy-systems · confirmed:philadelphia-broadcast-responsibility:philadelphia-eagles-nfl-wembley-broadcast-audio-delivery · confirmed:philadelphia-field-responsibility:philadelphia-eagles-nfl-wembley-field-communications-and-resilient-signal-systems",""
"logo-artwork","required:logo-artwork-recreation · required:logo-identity-design","core:logo-systems-designer","",""
"logo-design","activate:logo-identity-design · required:logo-identity-design","core:identity-architect · core:logo-systems-designer","",""
"make-activity","","","","no structured consumers"
"media-archive-platform","","","","no structured consumers"
"media-control-system","","","","no structured consumers"
"media-distribution","activate:audio-production · supporting:audio-production · supporting:broadcast-audio-delivery","core:media-distribution-engineer","confirmed:philadelphia-broadcast-responsibility:philadelphia-eagles-nfl-wembley-broadcast-audio-delivery",""
"media-distribution-system","","core:media-distribution-engineer","",""
"media-production-system","","","","no structured consumers"
"media-system","activate:media-system-definition · required:media-system-definition","core:media-distribution-engineer · core:systems-engineer","",""
"migrate-activity","","","","no structured consumers"
"multiformat-publishing-system","","","","no structured consumers"
"music-domain","","core:music-engineer","",""
"operate-activity","composition:cloud-operations","","",""
"operational-data-system","","","","no structured consumers"
"operational-state","composition:cloud-operations","","",""
"organisational-identity","","","","no structured consumers"
"physical-audio-systems","","core:acoustic-engineer · core:sound-engineer","",""
"physical-playback-system","","","","no structured consumers"
"physical-server","activate:physical-infrastructure-integration","","",""
"primary-signal-path","activate:communications-network-architecture · required:communications-network-architecture","core:network-engineer · core:signal-flow-designer","confirmed:houston-field-responsibility:houston-texans-london-game-field-communications-and-telecom-redundancy-systems · confirmed:philadelphia-field-responsibility:philadelphia-eagles-nfl-wembley-field-communications-and-resilient-signal-systems",""
"product-catalogue","","","","no structured consumers"
"product-definition","activate:data-system · required:community-platform-definition · required:generic-system-definition · required:media-system-definition · supporting:data-system","core:identity-architect · core:systems-engineer","",""
"product-identity","","","","no structured consumers"
"programme-audio-feed","activate:broadcast-audio-delivery · required:broadcast-audio-delivery","core:audio-engineer · core:broadcast-audio-engineer · core:media-distribution-engineer","confirmed:philadelphia-broadcast-responsibility:philadelphia-eagles-nfl-wembley-broadcast-audio-delivery",""
"recreate-activity","activate:logo-artwork-recreation · required:logo-artwork-recreation","","",""
"reliability-engineering","activate:signal-path-redundancy · supporting:live-operational-support · supporting:media-system-definition · supporting:physical-infrastructure-integration · supporting:signal-path-redundancy · supporting:testing-commissioning","core:operations-engineer · core:reliability-engineer","",""
"repair-activity","","","","no structured consumers"
"scalability","","","","no structured consumers"
"security","","","","no structured consumers"
"server-rack","activate:physical-infrastructure-integration · required:physical-infrastructure-integration","","",""
"server-software","","","","no structured consumers"
"server-system","","","","no structured consumers"
"signal-flow-design","required:broadcast-audio-delivery","core:audio-engineer · core:broadcast-audio-engineer · core:signal-flow-designer","confirmed:philadelphia-broadcast-responsibility:philadelphia-eagles-nfl-wembley-broadcast-audio-delivery",""
"signal-path-resilience","activate:signal-path-redundancy · required:signal-path-redundancy","core:reliability-engineer","confirmed:houston-field-responsibility:houston-texans-london-game-field-communications-and-telecom-redundancy-systems · confirmed:philadelphia-field-responsibility:philadelphia-eagles-nfl-wembley-field-communications-and-resilient-signal-systems",""
"software-engineering","activate:web-application · required:web-application · supporting:cloud-operations · supporting:generic-system-definition","contextual:access-control-engineer · core:application-engineer · direct:software-engineer · supporting:web-design-engineer","",""
"source-image","activate:logo-artwork-recreation · required:logo-artwork-recreation","","",""
"streaming-platform","","","","no structured consumers"
"studio-engineering","","core:audio-engineer · core:sound-engineer","",""
"studio-environment","","","","no structured consumers"
"systems-integration","activate:systems-integration · required:electronics-integration · required:generic-system-definition · required:physical-infrastructure-integration · required:systems-integration · supporting:communications-network-architecture · supporting:community-platform-definition · supporting:media-system-definition","core:live-systems-designer · core:systems-engineer","",""
"technical-handover","activate:technical-handover · required:technical-handover","core:operations-engineer · core:systems-engineer","",""
"testing-commissioning","activate:testing-commissioning · required:testing-commissioning · supporting:electronics-integration · supporting:media-system-definition · supporting:physical-infrastructure-integration","core:reliability-engineer · core:systems-engineer","",""
"transition-to-live","composition:cloud-operations","","",""
"visual-language-system","","","","no structured consumers"
"web-application","activate:web-application · composition:cloud-operations · required:web-application · supporting:community-platform-definition","contextual:access-control-engineer · core:software-engineer · core:web-design-engineer · direct:application-engineer","",""
