"Concept","Label","Type","Definition","Source","Aliases/phrases","Parent","Children","Typed relationships and traversal","Modules","Hat coverage","Confirmed Work claims","Review"
"live-operational-support","Live operational support","activity","Operating and supporting a configured system within its live delivery environment.","semantic-concepts-core.json","live operation · live support · on-site operation · operational support","","","legacy-related:live-field-operations:one-hop-context-only · legacy-related:reliability-engineering:one-hop-context-only","activate:live-operational-support · required:live-operational-support","core:live-systems-designer · core:operations-engineer · core:sound-engineer","","review-required"
"live-sport","Live sport","environment","A live sporting production or operational environment.","semantic-concepts-core.json","football game · live sport · live sporting event · live sports · match · nfl","","","legacy-related:live-broadcast:one-hop-context-only · legacy-related:live-field-operations:one-hop-context-only","","","confirmed:houston-field-responsibility:houston-texans-london-game-field-communications-and-telecom-redundancy-systems · confirmed:philadelphia-broadcast-responsibility:philadelphia-eagles-nfl-wembley-broadcast-audio-delivery · confirmed:philadelphia-field-responsibility:philadelphia-eagles-nfl-wembley-field-communications-and-resilient-signal-systems","review-required"
"logo-artwork","Logo artwork","deliverable","A mark or logo treated as a specific visual artefact rather than an entire identity system.","semantic-concept-extensions.json","logo · logo artwork · mark artwork","","","legacy-related:identity-systems:one-hop-context-only","required:logo-artwork-recreation · required:logo-identity-design","core:logo-systems-designer","","review-required"
"logo-design","Logo and identity design","activity","Design capability for marks, visual language and identity applications.","semantic-concept-extensions.json","logo design · logo designer","","","legacy-related:identity-systems:one-hop-context-only · legacy-related:logo-artwork:one-hop-context-only","activate:logo-identity-design · required:logo-identity-design","core:identity-architect · core:logo-systems-designer","","review-required"
"make-activity","Make","activity","A general request to cause or create a result whose precise activity depends on the requested target or state.","semantic-concept-extensions.json","make","","","","","","","review-required"
"media-archive-platform","Media archive platform","object","A structured platform for retaining and accessing media.","semantic-concept-extensions.json","archive and access · media archive · media archive platform","media-system","","CHILD_OF:media-system:activating-broader-context · legacy-related:data-systems:one-hop-context-only","","","","review-required"
"media-control-system","Media-control system","object","A system coordinating media devices, routing and operational control.","semantic-concept-extensions.json","connected media control · media control system · media-control system","media-system","","CHILD_OF:media-system:activating-broader-context · legacy-related:systems-integration:one-hop-context-only","","","","review-required"
"media-distribution","Media distribution","workflow","Carrying prepared media through a delivery workflow to an audience.","semantic-concepts-core.json","content delivery · media distribution · playout · publishing","","","legacy-related:broadcast-audio-delivery:one-hop-context-only","activate:audio-production · supporting:audio-production · supporting:broadcast-audio-delivery","core:media-distribution-engineer","confirmed:philadelphia-broadcast-responsibility:philadelphia-eagles-nfl-wembley-broadcast-audio-delivery","review-required"
"media-distribution-system","Media distribution system","object","A system for routing and delivering media across destinations.","semantic-concept-extensions.json","media distribution system · multimedia distribution","media-system","","CHILD_OF:media-system:activating-broader-context · legacy-related:media-distribution:one-hop-context-only","","core:media-distribution-engineer","","review-required"
"media-production-system","Media production system","object","A system used to capture, create or transform media.","semantic-concept-extensions.json","media production system · production workflow","media-system","","CHILD_OF:media-system:activating-broader-context · legacy-related:audio-production:one-hop-context-only","","","","review-required"
"media-system","Media system","object","An umbrella system for producing, controlling, storing, playing or distributing media whose primary function still needs to be resolved.","semantic-concept-extensions.json","media system · media systems · multimedia system · multimedia systems","","broadcast-system · interactive-media-installation · media-archive-platform · media-control-system · media-distribution-system · media-production-system · physical-playback-system · streaming-platform","PARENT_OF:broadcast-system:non-lexical · PARENT_OF:interactive-media-installation:non-lexical · PARENT_OF:media-archive-platform:non-lexical · PARENT_OF:media-control-system:non-lexical · PARENT_OF:media-distribution-system:non-lexical · PARENT_OF:media-production-system:non-lexical · PARENT_OF:physical-playback-system:non-lexical · PARENT_OF:streaming-platform:non-lexical","activate:media-system-definition · required:media-system-definition","core:media-distribution-engineer · core:systems-engineer","","review-required"
"migrate-activity","Migrate","activity","Moving a system, service or information set between operating environments.","semantic-concept-extensions.json","migrate · migration","","","","","","","review-required"
"multiformat-publishing-system","Multi-format publishing system","object","A system publishing structured content across multiple formats.","semantic-concept-extensions.json","multi-format publishing · multiformat publishing","content-system","","CHILD_OF:content-system:activating-broader-context","","","","review-required"
"music-domain","Music","medium","Music as a creative, production and technical domain.","semantic-concept-extensions.json","music · musical","","","legacy-related:audio-medium:one-hop-context-only · legacy-related:audio-production:one-hop-context-only","","core:music-engineer","","review-required"
"operate-activity","Operate","activity","Running and supporting a system in active use.","semantic-concept-extensions.json","maintain · maintenance · operate · operation · run","","","","composition:cloud-operations","","","review-required"
"operational-data-system","Operational data system","system-layer","A data system centred on live operational records.","semantic-concept-extensions.json","operational data system","data-systems","","CHILD_OF:data-systems:activating-broader-context","","","","review-required"
"operational-state","Operational state","quality","A system or service active in its intended operating context.","semantic-concept-extensions.json","in production · live · operational","","","","composition:cloud-operations","","","review-required"
"organisational-identity","Organisational identity","object","An identity system representing an organisation.","semantic-concept-extensions.json","organisational identity · organization identity","identity-systems","","CHILD_OF:identity-systems:activating-broader-context","","","","review-required"
"physical-audio-systems","Physical audio systems","object","Installed equipment and physical signal paths used to reproduce or control sound.","semantic-concepts-core.json","audio installation · audio system · loudspeaker · mixing desk · sound system","","","legacy-related:signal-flow-design:one-hop-context-only · legacy-related:systems-integration:one-hop-context-only","","core:acoustic-engineer · core:sound-engineer","","review-required"
"physical-playback-system","Physical playback system","object","Installed equipment that reproduces media in a physical environment.","semantic-concept-extensions.json","media playback installation · physical media playback installation · physical playback · playback system","media-system","","CHILD_OF:media-system:activating-broader-context · legacy-related:physical-audio-systems:one-hop-context-only","","","","review-required"
"physical-server","Physical server","object","Physical compute equipment installed and connected within technical infrastructure.","semantic-concept-extensions.json","physical server · server hardware","server-system","","CHILD_OF:server-system:activating-broader-context","activate:physical-infrastructure-integration","","","review-required"
"primary-signal-path","Primary communications path","object","The principal route carrying operational communications or programme signal.","semantic-concepts-core.json","primary communications path · primary communications paths · primary path · primary route · primary signal path","","","legacy-related:field-communications:one-hop-context-only · legacy-related:signal-flow-design:one-hop-context-only","activate:communications-network-architecture · required:communications-network-architecture","core:network-engineer · core:signal-flow-designer","confirmed:houston-field-responsibility:houston-texans-london-game-field-communications-and-telecom-redundancy-systems · confirmed:philadelphia-field-responsibility:philadelphia-eagles-nfl-wembley-field-communications-and-resilient-signal-systems","review-required"
"product-catalogue","Product catalogue","object","A structured collection and presentation of product information, independent of whether transactions are supported.","semantic-concept-extensions.json","catalog interface · catalogue interface · product catalog · product catalogue","content-system","","CHILD_OF:content-system:activating-broader-context · PART_OF:ecommerce-storefront:non-activating · legacy-related:data-systems:one-hop-context-only · legacy-related:product-definition:one-hop-context-only","","","","review-required"
"product-definition","Product and system definition","activity","Defining a system's purpose, boundaries, model and intended operation.","semantic-concepts-core.json","product definition · requirements · service architecture · system definition","","","legacy-related:data-systems:one-hop-context-only","activate:data-system · required:community-platform-definition · required:generic-system-definition · required:media-system-definition · supporting:data-system","core:identity-architect · core:systems-engineer","","review-required"
"product-identity","Product identity","object","An identity system representing a product or product family.","semantic-concept-extensions.json","product family identity · product identity","identity-systems","","CHILD_OF:identity-systems:activating-broader-context","","","","review-required"
"programme-audio-feed","Programme-audio feed","object","The live audio feed carried from the operating environment into monitoring or transmission.","semantic-concepts-core.json","iem · in ear monitoring · in-ear monitoring · program audio · program-audio · programme audio · programme-audio · programme-audio feed","","","legacy-related:broadcast-audio-delivery:one-hop-context-only · legacy-related:signal-flow-design:one-hop-context-only","activate:broadcast-audio-delivery · required:broadcast-audio-delivery","core:audio-engineer · core:broadcast-audio-engineer · core:media-distribution-engineer","confirmed:philadelphia-broadcast-responsibility:philadelphia-eagles-nfl-wembley-broadcast-audio-delivery","review-required"
"recreate-activity","Recreate","activity","Reconstructing an existing visual or technical artefact from surviving source material.","semantic-concept-extensions.json","rebuild · recreate · redraw","","","","activate:logo-artwork-recreation · required:logo-artwork-recreation","","","review-required"
"reliability-engineering","Reliability engineering","quality","Designing for continuity, fault tolerance and dependable operation.","semantic-concepts-core.json","fail-safe · high availability · redundancy · reliability · reliable · resilience · resilient","","","legacy-related:signal-path-resilience:one-hop-context-only · legacy-related:testing-commissioning:one-hop-context-only","activate:signal-path-redundancy · supporting:live-operational-support · supporting:media-system-definition · supporting:physical-infrastructure-integration · supporting:signal-path-redundancy · supporting:testing-commissioning","core:operations-engineer · core:reliability-engineer","","review-required"
"repair-activity","Repair","activity","Diagnosing and correcting a fault in an existing system.","semantic-concept-extensions.json","fix · repair · restore","","","","","","","review-required"
"scalability","Scalability","quality","The ability of a system to grow in users, data, delivery volume or operating reach.","semantic-concept-extensions.json","scalability · scalable · scale up","","","","","","","review-required"
"security","Security","quality","Protection of access, information and operation against unauthorised or unsafe use.","semantic-concept-extensions.json","protected · secure · security","","","","","","","review-required"
"server-rack","Server rack","object","A physical rack environment for equipment layout, power, cooling, cabling and networking.","semantic-concept-extensions.json","equipment rack · rack installation · server rack","","","legacy-related:communications-networking:one-hop-context-only · legacy-related:physical-server:one-hop-context-only · legacy-related:systems-integration:one-hop-context-only","activate:physical-infrastructure-integration · required:physical-infrastructure-integration","","","review-required"
"server-software","Server software","object","Software providing a networked service or application runtime.","semantic-concept-extensions.json","server software · service backend","server-system","","CHILD_OF:server-system:activating-broader-context · legacy-related:software-engineering:one-hop-context-only","","","","review-required"
"server-system","Server system","object","An ambiguous server request that may concern physical hardware, server software or a hosted runtime.","semantic-concept-extensions.json","server · server system","","physical-server · server-software","PARENT_OF:cloud-operations:non-lexical · PARENT_OF:physical-server:non-lexical · PARENT_OF:server-software:non-lexical","","","","review-required"
"signal-flow-design","Signal-flow design","activity","Defining how signals travel between sources, processing stages and destinations.","semantic-concepts-core.json","audio routing · routing · signal flow · signal routing","","","legacy-related:broadcast-audio-delivery:one-hop-context-only · legacy-related:signal-path-resilience:one-hop-context-only","required:broadcast-audio-delivery","core:audio-engineer · core:broadcast-audio-engineer · core:signal-flow-designer","confirmed:philadelphia-broadcast-responsibility:philadelphia-eagles-nfl-wembley-broadcast-audio-delivery","review-required"
"signal-path-resilience","Signal-path resilience","quality","Maintaining dependable signal delivery through planned redundancy, routing and failure tolerance.","semantic-concepts-core.json","backup signal route · communications redundancy · failover · primary and backup · primary and fallback · resilient comms · resilient signal paths · signal redundancy · telecom redundancy","","","legacy-related:fallback-signal-path:one-hop-context-only · legacy-related:reliability-engineering:one-hop-context-only · legacy-related:signal-flow-design:one-hop-context-only","activate:signal-path-redundancy · required:signal-path-redundancy","core:reliability-engineer","confirmed:houston-field-responsibility:houston-texans-london-game-field-communications-and-telecom-redundancy-systems · confirmed:philadelphia-field-responsibility:philadelphia-eagles-nfl-wembley-field-communications-and-resilient-signal-systems","review-required"
"software-engineering","Software engineering","activity","Designing and building executable digital systems.","semantic-concepts-core.json","api · application · backend · code · software","","","legacy-related:data-systems:one-hop-context-only · legacy-related:web-application:one-hop-context-only","activate:web-application · required:web-application · supporting:cloud-operations · supporting:generic-system-definition","contextual:access-control-engineer · core:application-engineer · direct:software-engineer · supporting:web-design-engineer","","review-required"
"source-image","Source image","constraint","Existing image material supplied as the reference for transformation or reconstruction.","semantic-concept-extensions.json","from image · reference image · source image","","","","activate:logo-artwork-recreation · required:logo-artwork-recreation","","","review-required"
"streaming-platform","Streaming platform","object","A digital platform that prepares and delivers media streams.","semantic-concept-extensions.json","media streaming · streaming backend · streaming platform","media-system","","CHILD_OF:media-system:activating-broader-context · legacy-related:cloud-operations:one-hop-context-only","","","","review-required"
"studio-engineering","Studio engineering","activity","Audio engineering and technical signal-flow work within a studio environment.","semantic-concept-extensions.json","studio engineer · studio engineering","","","legacy-related:audio-engineering:one-hop-context-only · legacy-related:audio-production:one-hop-context-only · legacy-related:signal-flow-design:one-hop-context-only","","core:audio-engineer · core:sound-engineer","","review-required"
"studio-environment","Studio environment","environment","A controlled environment for recording, production, monitoring or technical media work.","semantic-concept-extensions.json","studio","","","legacy-related:audio-production:one-hop-context-only · legacy-related:signal-flow-design:one-hop-context-only","","","","review-required"
"systems-integration","Systems integration","activity","Connecting distinct components and responsibilities into one functioning system.","semantic-concepts-core.json","hardware software integration · system integration · systems integration · technical integration","","","legacy-related:communications-networking:one-hop-context-only · legacy-related:testing-commissioning:one-hop-context-only","activate:systems-integration · required:electronics-integration · required:generic-system-definition · required:physical-infrastructure-integration · required:systems-integration · supporting:communications-network-architecture · supporting:community-platform-definition · supporting:media-system-definition","core:live-systems-designer · core:systems-engineer","","review-required"
"technical-handover","Technical documentation and handover","deliverable","Capturing configuration, operating knowledge and responsibilities for dependable continuation.","semantic-concepts-core.json","handover · operating documentation · technical documentation","","","legacy-related:systems-integration:one-hop-context-only · legacy-related:testing-commissioning:one-hop-context-only","activate:technical-handover · required:technical-handover","core:operations-engineer · core:systems-engineer","","review-required"
"testing-commissioning","Testing and commissioning","activity","Verifying an integrated system before operational use.","semantic-concepts-core.json","commissioning · system test · testing · validation","","","legacy-related:reliability-engineering:one-hop-context-only · legacy-related:systems-integration:one-hop-context-only","activate:testing-commissioning · required:testing-commissioning · supporting:electronics-integration · supporting:media-system-definition · supporting:physical-infrastructure-integration","core:reliability-engineer · core:systems-engineer","","review-required"
"transition-to-live","Transition to live operation","activity","Moving a system or service from preparation into its public or operational state.","semantic-concept-extensions.json","deploy · go live · launch · publish · put into production · take live","","","","composition:cloud-operations","","","review-required"
"visual-language-system","Visual-language system","object","A repeatable visual language governing recognition and expression.","semantic-concept-extensions.json","visual language system · visual-language system","identity-systems","","CHILD_OF:identity-systems:activating-broader-context","","","","review-required"
"web-application","Web application","object","Executable browser-based digital behaviour.","semantic-concepts-core.json","frontend · interface · portal · staff portal · web app · web application · web presence · website","","checkout-system · ecommerce-storefront","legacy-related:software-engineering:one-hop-context-only","activate:web-application · composition:cloud-operations · required:web-application · supporting:community-platform-definition","contextual:access-control-engineer · core:software-engineer · core:web-design-engineer · direct:application-engineer","","review-required"
